21,katyperry,9/24/2018 13:56,TODAY is National Voter Registration Day!!! Need to register to vote? Check your voter status? Find local volunteer opportunities or sign up to get reminders for voting/absentee ballot ,0,neutral,Trust,0.001321731,0.329853535,0.020482458,0.228831783,0.002169669,0.006145617,0.409784973,0.001410243
22,katyperry,9/22/2018 8:55,You will alway have you... and me darling  ,0,neutral,Trust,0.00739809,0.098303355,0.025881954,0.058033176,0.000734341,0.008294331,0.797180414,0.004174332
23,katyperry,9/17/2018 15:51,At that my friends is the cherry on top of a wonderful era. I see you and I love you  Del Mar ,0.666666667,positive,Surprise,9.55E-05,0.102287665,0.800784588,0.001664065,4.77E-05,0.005154352,0.0860084,0.003957765
24,katyperry,9/17/2018 15:45,KAABOO   Del Mar ,0,neutral,Surprise,0.033366699,0.056489419,0.393326253,0.11053285,0.007530166,0.011111526,0.376409084,0.011234005
25,katyperry,9/17/2018 15:44,KAABOO   Del Mar ,0,neutral,Surprise,0.033366699,0.056489419,0.393326253,0.11053285,0.007530166,0.011111526,0.376409084,0.011234005
26,katyperry,9/17/2018 15:39,KAABOO   Del Mar ,0,neutral,Surprise,0.033366699,0.056489419,0.393326253,0.11053285,0.007530166,0.011111526,0.376409084,0.011234005
27,katyperry,9/17/2018 15:36,KAABOO   Del Mar ,0,neutral,Surprise,0.033366699,0.056489419,0.393326253,0.11053285,0.007530166,0.011111526,0.376409084,0.011234005
28,katyperry,9/16/2018 14:43,Omw kaaboodelmar Meet me at Sunset Cliffs 7:30pm   Del Mar ,0,neutral,Joy,0.008452595,0.524813592,0.173307166,0.132148772,0.001054581,0.007655899,0.117878422,0.034688979
29,katyperry,9/15/2018 21:14,PEEK-KAABOO See you soon San Diego... link in bio   Diego California ,0,neutral,Fear,0.0538534,0.069964245,0.254705042,0.259051085,0.009556213,0.051226929,0.239375383,0.062267676
30,katyperry,9/15/2018 2:01,Welcome to your freedom years Miss cleowade Privileged to be living in the same lifetime my queen maskdelis  Orleans Louisiana ,0.312121212,positive,Joy,0.015799548,0.404234946,0.301443487,0.011703548,0.005592374,0.176351443,0.04203761,0.04283702
31,katyperry,9/11/2018 20:59,What s the difference between a piano and a fish? You can t tuna-fish  Hotel Downtown Los Angeles ,0,neutral,Joy,0.001070982,0.565215468,0.033609118,0.030836962,9.40E-05,0.015347176,0.340636015,0.013190301
32,katyperry,9/11/2018 0:40,My dog has halitosis but secretly I love it. ,0.5,positive,Surprise,0.004236829,0.267687887,0.435250938,0.033354316,0.004103054,0.07531964,0.174180925,0.005866417
33,katyperry,9/8/2018 0:07,ctrl alt delete it all ,0,neutral,Trust,0.008422691,0.00763048,0.03755809,0.062191125,0.010172037,0.013043946,0.860290647,0.000690978
