ID,Username,Date,Tweet,Emotion,Anger,Anticipation,Disgust,Fear,Joy,Sadness,Surprise,Trust,Word,Valence,Arousal,Dominance,Emotions
10,BarackObama,8/6/18 7:53,Bobby Kennedy was one of my heroes. He was someone who showed us the power of acting on our ideals the idea that any of us can be one of the million different centers of energy and daring that ultimately combine to change the world for the better. ,Trust,0.052629009,0.014671943,0.013579847,0.123791412,0.089775294,0.005987868,0.034790065,0.664774537,idea,0.75,0.704,0.538,-
10,BarackObama,8/6/18 7:53,Bobby Kennedy was one of my heroes. He was someone who showed us the power of acting on our ideals the idea that any of us can be one of the million different centers of energy and daring that ultimately combine to change the world for the better. ,Trust,0.052629009,0.014671943,0.013579847,0.123791412,0.089775294,0.005987868,0.034790065,0.664774537,million,0.776,0.812,0.647,-
10,BarackObama,8/6/18 7:53,Bobby Kennedy was one of my heroes. He was someone who showed us the power of acting on our ideals the idea that any of us can be one of the million different centers of energy and daring that ultimately combine to change the world for the better. ,Trust,0.052629009,0.014671943,0.013579847,0.123791412,0.089775294,0.005987868,0.034790065,0.664774537,one,0.542,0.37,0.292,-
10,BarackObama,8/6/18 7:53,Bobby Kennedy was one of my heroes. He was someone who showed us the power of acting on our ideals the idea that any of us can be one of the million different centers of energy and daring that ultimately combine to change the world for the better. ,Trust,0.052629009,0.014671943,0.013579847,0.123791412,0.089775294,0.005987868,0.034790065,0.664774537,power,0.719,0.953,0.67,-
10,BarackObama,8/6/18 7:53,Bobby Kennedy was one of my heroes. He was someone who showed us the power of acting on our ideals the idea that any of us can be one of the million different centers of energy and daring that ultimately combine to change the world for the better. ,Trust,0.052629009,0.014671943,0.013579847,0.123791412,0.089775294,0.005987868,0.034790065,0.664774537,ultimately,0.385,0.558,0.48,anticipation-positive-
10,BarackObama,8/6/18 7:53,Bobby Kennedy was one of my heroes. He was someone who showed us the power of acting on our ideals the idea that any of us can be one of the million different centers of energy and daring that ultimately combine to change the world for the better. ,Trust,0.052629009,0.014671943,0.013579847,0.123791412,0.089775294,0.005987868,0.034790065,0.664774537,world,0.622,0.75,0.394,-
11,BarackObama,8/1/18 9:20,I m confident that together they ll strengthen this country we love by restoring opportunity repairing our alliances and standing in the world and upholding our fundamental commitment to justice fairness responsibility and the rule of law. But first they need our votes. ,Trust,0.028080966,0.002859662,0.00482065,0.154347107,0.220879689,0.031380463,0.009324874,0.548306584,commitment,0.714,0.843,0.71,-
11,BarackObama,8/1/18 9:20,I m confident that together they ll strengthen this country we love by restoring opportunity repairing our alliances and standing in the world and upholding our fundamental commitment to justice fairness responsibility and the rule of law. But first they need our votes. ,Trust,0.028080966,0.002859662,0.00482065,0.154347107,0.220879689,0.031380463,0.009324874,0.548306584,confident,0.765,0.723,0.324,joy-positive-trust-
11,BarackObama,8/1/18 9:20,I m confident that together they ll strengthen this country we love by restoring opportunity repairing our alliances and standing in the world and upholding our fundamental commitment to justice fairness responsibility and the rule of law. But first they need our votes. ,Trust,0.028080966,0.002859662,0.00482065,0.154347107,0.220879689,0.031380463,0.009324874,0.548306584,country,0.698,0.693,0.394,-
11,BarackObama,8/1/18 9:20,I m confident that together they ll strengthen this country we love by restoring opportunity repairing our alliances and standing in the world and upholding our fundamental commitment to justice fairness responsibility and the rule of law. But first they need our votes. ,Trust,0.028080966,0.002859662,0.00482065,0.154347107,0.220879689,0.031380463,0.009324874,0.548306584,fairness,0.74,0.552,0.317,-
